title,salaries,company_names,addresses,requirements
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий Frontend-разработчик,50 000 – 90 000 руб.,ЗАЗЕКС,Ростов-на-Дону,Not provided
Стажер-разработчик/Junior Frontend Developer,50 000 – 90 000 руб.,WhiteCube,Красноярск,Not provided
Frontend-разработчик,50 000 – 90 000 руб.,ООО НЕОЛАНТ Сервис,Ставрополь,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Junion Frontend Разработчик,50 000 – 90 000 руб.,Digital Partners Global,Челябинск,Not provided
Senior Frontend Developer,50 000 – 90 000 руб.,Offer Now,Москва,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Разработчик full-stack javascript (remote),50 000 – 90 000 руб.,Luminati,Москва,Not provided
Js Developer (WebRTC),50 000 – 90 000 руб.,VOLTEP LLC,Москва,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Frontend-разработчик (JavaScript),50 000 – 90 000 руб.,ИТ-ЛИНК,"Екатеринбург, Геологическая и еще 1 ",Not provided
Frontend JS программист,50 000 – 90 000 руб.,ООО МАГУС,"Екатеринбург, Геологическая и еще 1 ","Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Middle Frontend developer,50 000 – 90 000 руб.,ООО ЭВРИТЕГ,Москва,Not provided
Middle Frontend-разработчик,от 150 000 руб.,ООО Онлайн-гимназия,Новосибирск,Not provided
Frontend разработчик,от 150 000 руб.,ООО Динамика,Новосибирск,"Опыт продуктовой разработки от 2х лет. Знание и владение TypeScript на пятерку. Отличное знание React.js. Понимание ООП. Хорошие знания HTML, CSS, JS (ES6). React, Redux (опыт работы 3+ лет). Понимание принципов SOLID и следование им. 5+ лет опыта работы с JavaScript. 3+ лет опыта использования ReactJS. Опыт использования средств автоматизации сборки. 4+ лет опыта во front-end разработке. HTML, CSS ( SCSS/SASS), Javascript. React.js, Nuxt.js (SSR), GraphQL. Sockets, contexts, hooks...Экспертное знание HTML, HTML5, CSS. Знание систем контроля версий (git). Опыт от 1 лет разработки фронтальных систем. Коммерческий опыт работы на JS от 3-х лет. Знание HTML / CSS (адаптивная верстка), JavaScript, HTML5. Знание и уверенное...Опыт работы Frontend developer (React) от 3 лет. Отличное знание языков JS\TS. Практический опыт использования react, React.js. Хорошее знание Javascript/TypeScript. Опыт работы с библиотеками/фреймворками React.js, Next.js. Знание синтаксисов ES16, ES17. Знание SCSS. Опыт промышленной разработки на React от 1 года. Хорошее понимание технологий Redux, Redux-Saga. Хорошее понимание принципов адаптивной верстки. Опыт разработки в команде на React от 1-1.5 лет обязателен! Знание Javascript, React Hooks, Redux Toolkit, HTML5...Frontend - Знание вёрстки, Javascript, React. Backend - Знание Node js / Express, умение работать с базами данных и API. Преимуществом будет знание...Знание JavaScript/TypeScript, СSS, HTML. ​​​​​​​Знание фреймоворка Vue и его экосистемы или опыт работы с любым другим фреймворком. Умеете работать с React. Понимаете все плюсы и минусы Redux, MobX, Context API. Знаете HTML5, CSS3, SASS, Webpack. Хорошие знания особенностей современной frontend разработки. Знания правил и принципов оформления современного UI. Отличные знания современных фремворков: React/Redux, NodeJS. Только fullstack (frontend-программистов у нас нет). Уверенное владение SQL и понимание принципов построения баз данных. Умение разбираться в чужом...Знания JavaScript. Опыт работы с Vue.js/React с Bootstrap или HTML+CSS. Опыт работы с REST API, понимание принципов его работы...СSS – анимации. CSS – обязательно. HTML – обязательно. Знание Bootstrap. Знание JS. Аккуратность в собственном коде (чистый, грамотный).Хорошее знание и опыт работы с Javascript, Web API. Знание стандартов CSS на практике. Опыт работы с React. Пожелания к вашему опыту:  Знание нативного JavaScript.  Опыт кроссбраузерной адаптивной вёрстки с использованием HTML5 и CSS3.  Опыт разработки SPA Web интерфейсов. Знание и опыт верстки интерфейса пользователя (html5, css). Хорошее знание JS, TypeScript. "
Frontend разработчик (JavaScript / ReactJS),от 150 000 руб.,H1.marketing,Санкт-Петербург,Not provided
